model,benchmark,thinking,n_questions,reasoning_tok_per_q,output_tok_per_q,gen_tok_per_q,context_steps_200k
Gemini 3 Flash,HLE,1,2500,16800.0,372.0,17172.0,11.6
DeepSeek V4 Pro (High),HLE,1,2500,28000.0,244.0,28244.0,7.1
Claude Opus 4.7,HLE,0,2500,0.0,2480.0,2480.0,80.6
Claude Sonnet 4.6,HLE,1,2500,52000.0,400.0,52400.0,3.8
Qwen3.5 397B A17B,HLE,1,2500,17600.0,400.0,18000.0,11.1
Gemma 4 31B,HLE,1,2500,6800.0,600.0,7400.0,27.0
Qwen3.6 27B,HLE,1,2500,25600.0,320.0,25920.0,7.7
Qwen3.5 397B A17B,HLE,0,2500,0.0,4800.0,4800.0,41.7
Gemma 4 26B A4B,HLE,1,2500,13200.0,400.0,13600.0,14.7
Grok 4.3 (low),HLE,1,2500,2040.0,340.0,2380.0,84.0
Gemini 3 Flash,HLE,0,2500,0.0,392.0,392.0,510.2
Qwen3.6 27B,HLE,0,2500,0.0,5600.0,5600.0,35.7
Claude Sonnet 4.6,HLE,0,2500,0.0,840.0,840.0,238.1
GPT-5.5,HLE,0,2500,0.0,232.0,232.0,862.1
Gemma 4 31B,HLE,0,2500,0.0,1040.0,1040.0,192.3
Gemma 4 26B A4B,HLE,0,2500,0.0,2480.0,2480.0,80.6
DeepSeek V4 Pro,HLE,0,2500,0.0,1360.0,1360.0,147.1
GLM-5,HLE,0,2500,0.0,2000.0,2000.0,100.0
Grok 4.3,HLE,0,2500,0.0,760.0,760.0,263.2
GPT-5.2 (xhigh),AIME 2025,1,30,12333.3,866.7,13200.0,15.2
Gemini 3 Flash,AIME 2025,1,30,17666.7,833.3,18500.0,10.8
GPT-5.2 (medium),AIME 2025,1,30,5000.0,866.7,5866.7,34.1
GLM-4.7,AIME 2025,1,30,19666.7,500.0,20166.7,9.9
DeepSeek V3.2,AIME 2025,1,30,15000.0,500.0,15500.0,12.9
Claude Opus 4.5,AIME 2025,1,30,7166.7,666.7,7833.3,25.5
Qwen3 235B A22B 2507,AIME 2025,1,30,20333.3,1066.7,21400.0,9.3
Claude 4.5 Sonnet,AIME 2025,1,30,8333.3,666.7,9000.0,22.2
Qwen3 32B,AIME 2025,1,30,13666.7,1033.3,14700.0,13.6
Qwen3 235B 2507,AIME 2025,0,30,0.0,6666.7,6666.7,30.0
Claude Opus 4.5,AIME 2025,0,30,0.0,1000.0,1000.0,200.0
DeepSeek V3.2,AIME 2025,0,30,0.0,3666.7,3666.7,54.5
Gemini 3 Flash,AIME 2025,0,30,0.0,1200.0,1200.0,166.7
GPT-5.2,AIME 2025,0,30,0.0,1033.3,1033.3,193.5
GLM-4.7,AIME 2025,0,30,0.0,5000.0,5000.0,40.0
Claude 4.5 Sonnet,AIME 2025,0,30,0.0,1033.3,1033.3,193.5
Qwen3 32B,AIME 2025,0,30,0.0,1933.3,1933.3,103.4
GPT-5.5 (xhigh),CritPt,1,71,50704.2,2253.5,52957.7,3.8
GPT-5.5 (high),CritPt,1,71,28169.0,2394.4,30563.4,6.5
DeepSeek V4 Pro (Max),CritPt,1,71,104225.4,1549.3,105774.6,1.9
Claude Opus 4.7 (max),CritPt,1,71,60563.4,1366.2,61929.6,3.2
DeepSeek V4 Pro (High),CritPt,1,71,73239.4,1690.1,74929.6,2.7
Gemini 3 Flash,CritPt,1,71,50704.2,1971.8,52676.1,3.8
Grok 4.3 (high),CritPt,1,71,47887.3,1352.1,49239.4,4.1
Kimi K2.6,CritPt,1,71,183098.6,3239.4,186338.0,1.1
Claude Opus 4.7,CritPt,0,71,0.0,15493.0,15493.0,12.9
GLM-5.1,CritPt,1,71,83098.6,2957.7,86056.3,2.3
Claude Sonnet 4.6 (max),CritPt,1,71,225352.1,535.2,225887.3,0.9
Qwen3.5 397B A17B,CritPt,1,71,39436.6,3239.4,42676.1,4.7
GPT-5.5 (Non-reasoning),CritPt,0,71,0.0,2112.7,2112.7,94.7
Gemma 4 31B,CritPt,1,71,28169.0,3098.6,31267.6,6.4
Gemini 3 Flash,CritPt,0,71,0.0,1831.0,1831.0,109.2
Kimi K2.6,CritPt,0,71,0.0,15493.0,15493.0,12.9
Qwen3.6 27B,CritPt,1,71,42253.5,1971.8,44225.4,4.5
Claude Sonnet 4.6,CritPt,0,71,0.0,7887.3,7887.3,25.4
DeepSeek V4 Pro,CritPt,0,71,0.0,6056.3,6056.3,33.0
Qwen3.6 27B,CritPt,0,71,0.0,8028.2,8028.2,24.9
Qwen3.5 397B A17B,CritPt,0,71,0.0,22535.2,22535.2,8.9
Gemma 4 31B,CritPt,0,71,0.0,5633.8,5633.8,35.5
Grok 4.3,CritPt,0,71,0.0,2112.7,2112.7,94.7
GLM-5.1,CritPt,0,71,0.0,2535.2,2535.2,78.9
