benchmark,pair_id,model_r,model_i,family,source,acc_i_pct,acc_r_pct,delta_acc_pp,gen_tok_i,gen_tok_r,gen_tok_mult,TES,cost_i,cost_r,cost_mult,reasoning_tok_r,output_tok_r
MMLU-Pro,gpt-5.2,GPT 5.2 medium,GPT 5.2,GPT,aa,81.4,85.9,4.5,1600000,5400000,3.375,1.3333,27.125,80.325,2.9613,3800000,1600000
MMLU-Pro,gpt-5.2,GPT 5.2 xhigh,GPT 5.2,GPT,aa,81.4,87.4,6.0,1600000,31700000,19.8125,0.3028,27.125,448.7,16.5419,30000000,1700000
MMLU-Pro,grok4.1-fast,Grok 4.1 Fast,Grok 4.1 Fast,Grok,aa,74.3,85.4,11.1,3200000,24800000,7.75,1.4323,2.14,12.96,6.0561,23000000,1800000
MMLU-Pro,qwen3-235b-a22b,Qwen3-235B-A22B 2507,Qwen3-235B-A22B 2507,Qwen,self,82.8,84.3,1.5,9600000,42300000,4.4062,0.3404,21.72,92.065,4.2387,37000000,5300000
MMLU-Pro,qwen3-32b,Qwen3 32B,Qwen3 32B,Qwen,self,72.7,79.8,7.1,5300000,25900000,4.8868,1.4529,3.302,13.9945,4.2382,22000000,3900000
GPQA Diamond,3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,81.2,89.8,8.6,120000,2820000,23.5,0.366,0.3845,8.4845,22.0663,2700000,120000
GPQA Diamond,claude-opus-4.7,Claude Opus 4.7 (max),Claude Opus 4.7,Claude,aa,88.5,91.4,2.9,200000,2589000,12.945,0.224,5.44375,65.01875,11.9437,2500000,89000
GPQA Diamond,claude-sonnet-4.6,Claude Sonnet 4.6,Claude Sonnet 4.6,Claude,aa,79.9,87.5,7.6,150000,5400000,36.0,0.2111,2.43375,81.18375,33.3575,5300000,100000
GPQA Diamond,gem-4-31b,Gemma 4 31B,Gemma 4 31B,Gemma,self,76.3,85.7,9.4,140000,1120000,8.0,1.175,0.05768,0.42028,7.2864,980000,140000
GPQA Diamond,gemma4 26b-a4b,Gemma 4 26B-A4B,Gemma 4 26B-A4B,Gemma,self,71.4,79.2,7.8,290000,2440000,8.4138,0.927,0.08994,0.73494,8.1714,2300000,140000
GPQA Diamond,glm5,GLM-5,GLM-5,GLM,aa,66.6,82.0,15.4,180000,3138000,17.4333,0.8834,0.624,10.0906,16.1708,3100000,38000
GPQA Diamond,gpt-5.5,GPT 5.5 (xhigh),GPT 5.5,GPT,aa,76.8,93.5,16.7,41000,1003000,24.4634,0.6827,1.475,30.335,20.5661,970000,33000
GPQA Diamond,gpt-5.5,GPT 5.5 (high),GPT 5.5,GPT,aa,76.8,93.2,16.4,41000,586000,14.2927,1.1474,1.475,17.825,12.0847,550000,36000
GPQA Diamond,qwen3.5-397b-a17b,Qwen3.5-397B-A17B,Qwen3.5-397B-A17B,Qwen,self,86.1,89.3,3.2,520000,1350000,2.5962,1.2326,1.9014,4.8894,2.5715,1200000,150000
GPQA Diamond,qwen3.6-27b,Qwen3.6-27B,Qwen3.6-27B,Qwen,self,82.9,84.2,1.3,570000,2310000,4.0526,0.3208,2.0814,8.3454,4.0095,2200000,110000
GPQA Diamond,v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro,DeepSeek,aa,71.7,90.5,18.8,77000,2137000,27.7532,0.6774,0.35322,7.52202,21.2956,2100000,37000
GPQA Diamond,v4-pro,DeepSeek V4 Pro (Max),DeepSeek V4 Pro,DeepSeek,aa,71.7,88.8,17.1,77000,5853000,76.013,0.225,0.35322,20.4537,57.9064,5800000,53000
HLE,claude-opus-4.7,Claude Opus 4.7,Claude Opus 4.7,Claude,aa,31.2,39.6,8.4,6200000,61400000,9.9032,0.8482,160.875,1539.0625,9.5668,60000000,1400000
HLE,claude-sonnet-4.6,Claude Sonnet 4.6,Claude Sonnet 4.6,Claude,aa,13.2,30.0,16.8,2100000,131000000,62.381,0.2693,33.975,1967.475,57.9095,130000000,1000000
HLE,deepseek-v4-pro,DeepSeek V4 Pro (Max),DeepSeek V4 Pro,DeepSeek,aa,7.7,35.9,28.2,3400000,110800000,32.5882,0.8653,12.9978,386.6802,29.7497,110000000,800000
HLE,deepseek-v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro,DeepSeek,aa,7.7,33.5,25.8,3400000,70610000,20.7676,1.2423,12.9978,246.8712,18.9933,70000000,610000
HLE,gemini-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,14.1,34.7,20.6,980000,42930000,43.8061,0.4703,3.275,129.125,39.4275,42000000,930000
HLE,gemma4 26-26b-a4b,Gemma 4 26B A4B,Gemma 4 26B A4B,Gemma,self,10.7,18.3,7.6,6200000,34000000,5.4839,1.3859,1.9002,10.236,5.3868,33000000,1000000
HLE,gemma4 31-4-31b,Gemma 4 31B,Gemma 4 31B,Gemma,self,11.5,22.7,11.2,2600000,18500000,7.1154,1.5741,1.0424,6.9254,6.6437,17000000,1500000
HLE,gpt-5.5,GPT-5.5 (xhigh),GPT-5.5,GPT,aa,12.6,44.3,31.7,580000,27500000,47.4138,0.6686,20.75,828.35,39.9205,27000000,500000
HLE,gpt-5.5,GPT-5.5 (high),GPT-5.5,GPT,aa,12.6,43.0,30.4,580000,16520000,28.4828,1.0673,20.75,498.95,24.0458,16000000,520000
HLE,grok-4.3,Grok 4.3 (high),Grok 4.3,Grok,aa,6.5,35.0,28.5,1900000,52840000,27.8105,1.0248,5.5875,132.9,23.7852,52000000,840000
HLE,qwen3.5-397b-a17b,Qwen3.5 397B A17B,Qwen3.5 397B A17B,Qwen,self,18.8,27.3,8.5,12000000,45000000,3.75,2.2667,43.602,162.402,3.7246,44000000,1000000
HLE,qwen3.6-27b,Qwen3.6 27B,Qwen3.6 27B,Qwen,self,13.6,21.6,8.0,14000000,64800000,4.6286,1.7284,50.802,233.682,4.5999,64000000,800000
LiveCodeBench,claude-4.5-sonnet,Claude 4.5 Sonnet,Claude 4.5 Sonnet,Claude,aa,59.0,71.4,12.4,690000,3740000,5.4203,2.2877,12.2625,58.0125,4.7309,3200000,540000
LiveCodeBench,claude-opus-4.5,Claude Opus 4.5,Claude Opus 4.5,Claude,aa,73.8,87.1,13.3,910000,5330000,5.8571,2.2707,25.9375,136.375,5.2578,4700000,630000
LiveCodeBench,deepseek-v3.2,DeepSeek V3.2,DeepSeek V3.2,DeepSeek,aa,59.3,86.2,26.9,1500000,12410000,8.2733,3.2514,6.1074,44.0742,7.2165,12000000,410000
LiveCodeBench,gemini-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,79.7,90.8,11.1,630000,17680000,28.0635,0.3955,2.145,53.295,24.8462,17000000,680000
LiveCodeBench,glm-4.7,GLM-4.7,GLM-4.7,GLM,aa,56.2,89.4,33.2,2500000,19370000,7.748,4.285,8.51,62.494,7.3436,19000000,370000
LiveCodeBench,gpt-5.2,GPT-5.2 (medium),GPT-5.2,GPT,aa,66.9,89.4,22.5,550000,3780000,6.8727,3.2738,19.05,115.95,6.0866,3400000,380000
LiveCodeBench,gpt-5.2,GPT-5.2 (xhigh),GPT-5.2,GPT,aa,66.9,88.9,22.0,550000,12350000,22.4545,0.9798,19.05,372.95,19.5774,12000000,350000
LiveCodeBench,grok-4.1-fast,Grok 4.1 Fast,Grok 4.1 Fast,Grok,aa,39.9,82.2,42.3,1100000,10320000,9.3818,4.5087,0.652,5.262,8.0706,10000000,320000
LiveCodeBench,qwen3-235b,Qwen3 235B A22B 2507,Qwen3 235B 2507,Qwen,self,52.4,78.8,26.4,1900000,17940000,9.4421,2.796,4.289,38.775,9.0406,17000000,940000
LiveCodeBench,qwen3-32b,Qwen3 32B,Qwen3 32B,Qwen,self,28.8,54.6,25.8,460000,7150000,15.5435,1.6599,0.33865,3.796,11.2092,6700000,450000
AIME 2025,claude-4.5-sonnet,Claude 4.5 Sonnet,Claude 4.5 Sonnet,Claude,matharena,37.0,88.0,51.0,31000,270000,8.7097,5.8556,0.481125,4.066125,8.4513,250000,20000
AIME 2025,claude-opus-4.5,Claude Opus 4.5,Claude Opus 4.5,Claude,matharena,62.7,91.3,28.6,30000,235000,7.8333,3.6511,0.776875,5.901875,7.5969,215000,20000
AIME 2025,deepseek-v3.2,DeepSeek V3.2,DeepSeek V3.2,DeepSeek,aa,59.0,92.0,33.0,110000,465000,4.2273,7.8065,0.390282,1.625682,4.1654,450000,15000
AIME 2025,gemini-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,55.7,97.0,41.3,36000,555000,15.4167,2.6789,0.11015,1.66715,15.1353,530000,25000
AIME 2025,glm-4.7,GLM-4.7,GLM-4.7,GLM,aa,48.0,95.0,47.0,150000,605000,4.0333,11.6529,0.4843,1.9403,4.0064,590000,15000
AIME 2025,gpt-5.2,GPT-5.2 (xhigh),GPT-5.2,GPT,aa,51.0,99.0,48.0,31000,396000,12.7742,3.7576,0.9515,11.9015,12.5081,370000,26000
AIME 2025,gpt-5.2,GPT-5.2 (medium),GPT-5.2,GPT,aa,51.0,96.7,45.7,31000,176000,5.6774,8.0494,0.9515,5.3015,5.5717,150000,26000
AIME 2025,qwen3-235b,Qwen3 235B A22B 2507,Qwen3 235B 2507,Qwen,self,71.7,91.0,19.3,200000,642000,3.21,6.0125,0.43172,1.38202,3.2012,610000,32000
AIME 2025,qwen3-32b,Qwen3 32B,Qwen3 32B,Qwen,self,19.7,73.0,53.3,58000,441000,7.6034,7.01,0.030998,0.230158,7.4248,410000,31000
CritPt,claude-opus-4.7,Claude Opus 4.7 (max),Claude Opus 4.7,Claude,aa,5.1,12.0,6.9,1100000,4397000,3.9973,1.7262,34.375,111.3,3.2378,4300000,97000
CritPt,claude-sonnet-4.6,Claude Sonnet 4.6 (max),Claude Sonnet 4.6,Claude,aa,0.9,3.1,2.2,560000,16038000,28.6393,0.0768,8.925,241.095,27.0134,16000000,38000
CritPt,deepseek-v4-pro,DeepSeek V4 Pro (Max),DeepSeek V4 Pro,DeepSeek,aa,0.9,12.9,12.0,430000,7510000,17.4651,0.6871,2.4186,26.6916,11.036,7400000,110000
CritPt,deepseek-v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro,DeepSeek,aa,0.9,10.0,9.1,430000,5320000,12.3721,0.7355,2.4186,18.9312,7.8273,5200000,120000
CritPt,gemini-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,1.4,8.6,7.2,130000,3740000,28.7692,0.2503,0.515,11.34,22.0194,3600000,140000
CritPt,gemma-4-31b,Gemma 4 31B,Gemma 4 31B,Gemma,self,0.0,1.4,1.4,400000,2220000,5.55,0.2523,0.1648,0.8382,5.0862,2000000,220000
CritPt,glm-5.1,GLM-5.1,GLM-5.1,GLM,aa,0.0,4.6,4.6,180000,6110000,33.9444,0.1355,0.866,19.692,22.739,5900000,210000
CritPt,gpt-5.5,GPT-5.5 (xhigh),GPT-5.5 (Non-reasoning),GPT,aa,1.4,27.1,25.7,150000,3760000,25.0667,1.0253,5.85,113.5,19.4017,3600000,160000
CritPt,gpt-5.5,GPT-5.5 (high),GPT-5.5 (Non-reasoning),GPT,aa,1.4,25.4,24.0,150000,2170000,14.4667,1.659,5.85,65.8,11.2479,2000000,170000
CritPt,grok-4.3,Grok 4.3 (high),Grok 4.3,Grok,aa,0.0,8.0,8.0,150000,3496000,23.3067,0.3432,0.6875,9.015,13.1127,3400000,96000
CritPt,kimi-k2.6,Kimi K2.6,Kimi K2.6,Kimi,aa,1.1,8.0,6.9,1100000,13230000,12.0273,0.5737,5.445,53.053,9.7434,13000000,230000
CritPt,qwen3.5-397b,Qwen3.5 397B A17B,Qwen3.5 397B A17B,Qwen,self,0.9,1.7,0.8,1600000,3030000,1.8938,0.4224,5.844,10.992,1.8809,2800000,230000
CritPt,qwen3.6-27b,Qwen3.6 27B,Qwen3.6 27B,Qwen,self,0.9,0.9,0.0,570000,3140000,5.5088,0.0,2.454,11.46,4.6699,3000000,140000
